Customers[Customer Key],Customers[Customer Name],Customers[Birth Date],Customers[Marital Status],Customers[Gender],Customers[Yearly Income],Customers[Total Children],Customers[Number of Children at Home],Customers[Education],Occupation,House Owner,Number of Cars Owned,Customer Type,Country,State
25,"Xie, Russell",9-17-1978,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
37,"Russell, Jennifer",12-18-1978,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
42,"Carter, Amanda",10-16-1977,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
44,"Simmons, Nathan",2-24-1976,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
929,"Morris, Isabella",09-07-1978,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
939,"Alexander, Seth",9-21-1977,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
955,"Garcia, Joseph",8-17-1975,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
956,"Green, Gabriel",04-05-1975,S,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
2031,"Lopez, Sophia",7-13-1977,S,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
2987,"Anderson, Chloe",10-25-1979,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
2994,"Patterson, Zachary",8-24-1978,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
3005,"Kelly, Caitlin",4-13-1977,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
4012,"Mitchell, Amber",11-13-1977,S,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
4429,"Howard, Richard",05-01-1979,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
4433,"Kumar, Alvin",8-18-1978,S,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
5020,"Hernandez, Amber",02-02-1979,S,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
5337,"Wright, Jonathan",06-08-1977,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
5357,"Baker, Sophia",12-18-1975,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
5491,"Robinson, Megan",5-17-1980,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
5504,"Anderson, Christian",03-02-1975,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
5653,"Richardson, Nicole",08-06-1973,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
6481,"Gonzalez, Lucas",8-20-1978,S,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
6507,"Simmons, Alexandria",4-19-1973,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
7449,"Bailey, Jennifer",01-02-1978,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
7455,"Perez, George",11-23-1977,S,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
7474,"Rogers, Nathaniel",5-27-1975,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
7475,"Smith, James",07-11-1975,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
7799,"Allen, Andrea",6-13-1978,M,F,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
7893,"Howard, Chase",11-16-1977,S,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
8672,"Davis, Michael",07-02-1978,M,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
8757,"Yuan, Nicolas",08-03-1977,S,M,60000,0,0,Partial College,Skilled Manual,1,2,Person,United States,California
